NodeCount,SimCnt,CompileTime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,Mse
4,0,45.72175400244305,55.48403499960841,669.3903189989214,56.94423999921128,713.0378700003348,33.16490600082034,2.5446955352409234e-12
4,1,44.632072998865624,49.462085000413936,649.4877059976716,52.60466400068253,746.0447049979848,36.54650500175194,2.3973046122407727e-12
4,2,45.41282199897978,45.25198499686667,660.0858420006261,51.73070500131871,759.6508349979558,34.17087799607543,2.277369696266946e-12
4,3,45.82936999759113,45.155179999710526,642.1867640001437,50.471943999582436,780.3966379979101,39.7817289995146,2.429265453724857e-12
4,4,33.02101100234722,38.799665999249555,491.3528969991603,38.59950199876039,519.2778669988911,29.14787700319721,2.458032752565368e-12
4,5,31.933314001435065,37.15902100339008,496.51939399882394,38.85300800175173,534.9711729995761,26.563550998616847,2.5635241350307988e-12
4,6,31.333018001532764,36.45190200222714,469.7076049997122,39.324608998867916,505.0261350006622,25.21031800279161,2.6139624130879357e-12
4,7,32.63911299836764,35.916720999011886,467.5664379992668,37.39298999789753,516.2091979982506,26.384851002148935,2.6804756682230205e-12
4,8,33.32242600117752,41.07865799778665,499.5791899982578,41.08734800320235,554.8257649988955,31.85444200244092,2.5356258308280543e-12
4,9,34.06680899934145,34.919005001938785,497.1652640015236,39.85896800077171,553.054151001561,26.880135999817867,2.5317914472506605e-12
4,10,35.14357599851792,38.931295999645954,497.18109400055255,40.43749300035415,517.5532230023236,26.95773300001747,2.47097314200431e-12
4,11,32.556336000197916,31.453988998691784,454.5411070012051,39.543316001072526,504.628684000636,26.571786000204156,2.6227829166395195e-12
4,12,31.278924998332513,31.183982999209547,457.74419299959845,38.10492899901874,504.7267219997593,28.27586000057636,2.5306914339123687e-12
4,13,31.368747000669828,31.166710999968927,454.8914560000412,37.30329999780224,498.2037079971633,27.491243999975268,2.5782918381995793e-12
4,14,31.82006899987755,33.2457999993494,462.90790300372464,37.82066600069811,512.769158996889,30.388815999685903,2.464724281064217e-12
4,15,31.434593000085442,32.02031000000716,474.3578850011545,38.65059999770892,528.9101690013922,27.882860002137022,2.3982216404029867e-12
4,16,35.567687004004256,34.217985999930534,523.1038919991988,37.88032099873817,599.5581069964828,30.718394998984877,2.609356033957953e-12
4,17,31.94427700145752,31.12838900051429,460.12125199922593,37.22568899866019,509.67183699867746,27.612534999207128,2.570148091507345e-12
4,18,31.188572000246495,31.83831500246015,473.2741650004755,37.833540998690296,508.9570399995864,28.59601000091061,2.5125773880509595e-12
4,19,31.154386999332928,32.105633999890415,456.1620540007425,37.01864400136401,511.6822640011378,28.53700800187653,2.54578674391149e-12
4,20,35.26838399920962,36.050427001100616,496.2597060002736,42.176193001068896,572.3587119991862,36.17753999969864,2.418304770070366e-12
4,21,32.334731999071664,33.29454400045506,461.85919900017325,38.65622100420296,515.5912779991922,27.334571999745094,2.4545947004379762e-12
4,22,32.123587998285075,31.29265999996278,457.8238850008347,37.61637700154097,514.1981779997877,26.884535000135656,2.6955834594431214e-12
4,23,32.967129000098794,31.62980499837431,460.00399900003686,37.95979299866303,509.0405089995329,30.153195000821142,2.4937059978395925e-12
4,24,31.875312995907734,31.209983997541713,458.5523959976854,37.70032800093759,506.41615000131424,27.783241002907744,2.4621957977542185e-12
4,25,33.02827699917543,31.841719996009488,465.71260699965933,37.66300599818351,508.0593670008966,27.51710100164928,2.6025174354860493e-12
4,26,31.761366999489837,31.265549001545878,459.44503099781286,37.05904999696941,503.44154899903515,27.82523999849218,2.5448474566861487e-12
4,27,31.239750000167987,31.748932999107637,458.25565899940557,37.0009910002409,499.7439700018731,26.95177299938223,2.5566027765736083e-12
4,28,31.47528099725605,31.51623900157574,466.61158699862426,38.67977700065239,529.2460999971809,28.599037999811117,2.4436180184652155e-12
4,29,31.8681890003063,32.340032999854884,457.89939899805177,38.159724999786704,505.08345300113433,27.614526999968803,2.5463373238170274e-12
